CV_ID	GLYTOUCAN_ID	PUBCHEM_CID	COMPOSITION	MASS	IMAGE_URL	LINK_OUT_URL
11240191	G85278ER	11240191	Hex4 HexNAc2	1072.38	https://api.glygen.org/glycan/image/G85278ER	https://www.glygen.org/glycan/G85278ER
11240401	G44747CU	11240401	Hex6 HexNAc3	1599.57	https://api.glygen.org/glycan/image/G44747CU	https://www.glygen.org/glycan/G44747CU
11249135	G48740SL	11249135	Hex3	504.17	https://api.glygen.org/glycan/image/G48740SL	https://www.glygen.org/glycan/G48740SL
11400707	G56202TA	11400707	Hex9 HexNAc2	1882.64	https://api.glygen.org/glycan/image/G56202TA	https://www.glygen.org/glycan/G56202TA
11409652	G08371CD	11409652	HexNAc1 NeuAc1	512.19	https://api.glygen.org/glycan/image/G08371CD	https://www.glygen.org/glycan/G08371CD
11425306	G13902SG	11425306	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G13902SG	https://www.glygen.org/glycan/G13902SG
11467391	G15407YE	11467391	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G15407YE	https://www.glygen.org/glycan/G15407YE
11658901	G23487NW	11658901	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G23487NW	https://www.glygen.org/glycan/G23487NW
11801477	G41372SJ	11801477	Hex1 HexNAc2	586.22	https://api.glygen.org/glycan/image/G41372SJ	https://www.glygen.org/glycan/G41372SJ
11813424	G01187XC	11813424	Hex1 HexNAc1 dHex1	529.2	https://api.glygen.org/glycan/image/G01187XC	https://www.glygen.org/glycan/G01187XC
11828886	G90387AM	11828886	Hex1 HexNAc1 dHex1 NeuAc1	820.3	https://api.glygen.org/glycan/image/G90387AM	https://www.glygen.org/glycan/G90387AM
12002504	G81928IQ	12002504	Hex2 NeuAc2	924.31	https://api.glygen.org/glycan/image/G81928IQ	https://www.glygen.org/glycan/G81928IQ
12275066	G32430MQ	12275066	Other1	208.06	https://api.glygen.org/glycan/image/G32430MQ	https://www.glygen.org/glycan/G32430MQ
12302989	G83234UJ	12302989	HexN2	340.15	https://api.glygen.org/glycan/image/G83234UJ	https://www.glygen.org/glycan/G83234UJ
125128	G73578JC	125128	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G73578JC	https://www.glygen.org/glycan/G73578JC
12775251	G76680HJ	12775251	HexNAc2 dHex1	570.23	https://api.glygen.org/glycan/image/G76680HJ	https://www.glygen.org/glycan/G76680HJ
12775252	G21290RB	12775252	HexNAc2 dHex1	570.23	https://api.glygen.org/glycan/image/G21290RB	https://www.glygen.org/glycan/G21290RB
133474	G06000DZ	133474	Hex3	504.17	https://api.glygen.org/glycan/image/G06000DZ	https://www.glygen.org/glycan/G06000DZ
136665963	G53433AN	136665963	HexA1 S1 Other1	420.06	https://api.glygen.org/glycan/image/G53433AN	https://www.glygen.org/glycan/G53433AN
136666002	G06097MI	136666002	Hex4 Other1	812.28	https://api.glygen.org/glycan/image/G06097MI	https://www.glygen.org/glycan/G06097MI
136666020	G47495KE	136666020	Hex3 Other1	650.23	https://api.glygen.org/glycan/image/G47495KE	https://www.glygen.org/glycan/G47495KE
136666036	G32437SG	136666036	Hex3 HexNAc1 Other1	853.31	https://api.glygen.org/glycan/image/G32437SG	https://www.glygen.org/glycan/G32437SG
136666715	G83078TI	136666715	Hex4 HexNAc1 Other1	1015.36	https://api.glygen.org/glycan/image/G83078TI	https://www.glygen.org/glycan/G83078TI
136666725	G12067FX	136666725	Other2	420.06	https://api.glygen.org/glycan/image/G12067FX	https://www.glygen.org/glycan/G12067FX
13832708	G77824XV	13832708	Hex1 NeuAc1	471.16	https://api.glygen.org/glycan/image/G77824XV	https://www.glygen.org/glycan/G77824XV
13846931	G90142YY	13846931	HexNAc5	1033.41	https://api.glygen.org/glycan/image/G90142YY	https://www.glygen.org/glycan/G90142YY
13991612	G47325QT	13991612	Other1	351.12	https://api.glygen.org/glycan/image/G47325QT	https://www.glygen.org/glycan/G47325QT
14367963	G10203DW	14367963	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G10203DW	https://www.glygen.org/glycan/G10203DW
14647413	G61168WC	14647413	Hex2 HexNAc1 NeuAc1	836.29	https://api.glygen.org/glycan/image/G61168WC	https://www.glygen.org/glycan/G61168WC
14647417	G28800UK	14647417	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G28800UK	https://www.glygen.org/glycan/G28800UK
14647421	G44183QC	14647421	Hex4 HexNAc2 NeuAc1	1363.48	https://api.glygen.org/glycan/image/G44183QC	https://www.glygen.org/glycan/G44183QC
14647435	G41759HA	14647435	Hex2 HexNAc1 NeuAc2	1127.39	https://api.glygen.org/glycan/image/G41759HA	https://www.glygen.org/glycan/G41759HA
157355	G26039ES	157355	Hex2	344.13	https://api.glygen.org/glycan/image/G26039ES	https://www.glygen.org/glycan/G26039ES
16062700	G11423ZI	16062700	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G11423ZI	https://www.glygen.org/glycan/G11423ZI
16211038	G97953NC	16211038	Hex2 dHex2	634.23	https://api.glygen.org/glycan/image/G97953NC	https://www.glygen.org/glycan/G97953NC
16213812	G61071JD	16213812	HexN2	340.15	https://api.glygen.org/glycan/image/G61071JD	https://www.glygen.org/glycan/G61071JD
16216990	G06210XB	16216990	Hex2 dHex1	488.17	https://api.glygen.org/glycan/image/G06210XB	https://www.glygen.org/glycan/G06210XB
16219440	G78260AJ	16219440	Hex2	342.12	https://api.glygen.org/glycan/image/G78260AJ	https://www.glygen.org/glycan/G78260AJ
165206	G89565QL	165206	HexNAc1	223.11	https://api.glygen.org/glycan/image/G89565QL	https://www.glygen.org/glycan/G89565QL
165880	G61406KC	165880	HexNAc1	223.11	https://api.glygen.org/glycan/image/G61406KC	https://www.glygen.org/glycan/G61406KC
17106	G82576YO	17106	dHex1	164.07	https://api.glygen.org/glycan/image/G82576YO	https://www.glygen.org/glycan/G82576YO
18950	G70323CJ	18950	Hex1	180.06	https://api.glygen.org/glycan/image/G70323CJ	https://www.glygen.org/glycan/G70323CJ
195923	G14023WK	195923	Hex1 HexNAc1	385.16	https://api.glygen.org/glycan/image/G14023WK	https://www.glygen.org/glycan/G14023WK
197508	G80126GC	197508	Other1	268.08	https://api.glygen.org/glycan/image/G80126GC	https://www.glygen.org/glycan/G80126GC
21670519	G58896AZ	21670519	Hex3 HexNAc1	707.25	https://api.glygen.org/glycan/image/G58896AZ	https://www.glygen.org/glycan/G58896AZ
21670523	G79536OW	21670523	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G79536OW	https://www.glygen.org/glycan/G79536OW
21670525	G01767JJ	21670525	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G01767JJ	https://www.glygen.org/glycan/G01767JJ
22806751	G00047MO	22806751	Hex1 HexNAc1 dHex1	529.2	https://api.glygen.org/glycan/image/G00047MO	https://www.glygen.org/glycan/G00047MO
24139	G49108TO	24139	HexNAc1	221.09	https://api.glygen.org/glycan/image/G49108TO	https://www.glygen.org/glycan/G49108TO
24809553	G09485LV	24809553	Hex1 Other1	254.1	https://api.glygen.org/glycan/image/G09485LV	https://www.glygen.org/glycan/G09485LV
24826242	G06580KR	24826242	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G06580KR	https://www.glygen.org/glycan/G06580KR
25061208	G00035MO	25061208	HexNAc2	424.17	https://api.glygen.org/glycan/image/G00035MO	https://www.glygen.org/glycan/G00035MO
25061460	G33476GF	25061460	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G33476GF	https://www.glygen.org/glycan/G33476GF
25061461	G94798MK	25061461	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G94798MK	https://www.glygen.org/glycan/G94798MK
25062237	G00058MO	25062237	Hex2 HexNAc2	748.27	https://api.glygen.org/glycan/image/G00058MO	https://www.glygen.org/glycan/G00058MO
25069113	G05724WC	25069113	Hex2 HexNAc4	1154.43	https://api.glygen.org/glycan/image/G05724WC	https://www.glygen.org/glycan/G05724WC
25098607	G17689DH	25098607	Hex5 HexNAc4 dHex1 NeuAc2	2368.84	https://api.glygen.org/glycan/image/G17689DH	https://www.glygen.org/glycan/G17689DH
25194049	G09342SH	25194049	Hex3	504.17	https://api.glygen.org/glycan/image/G09342SH	https://www.glygen.org/glycan/G09342SH
25201920	G76355TG	25201920	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G76355TG	https://www.glygen.org/glycan/G76355TG
25229562	G00037MO	25229562	HexNAc3	627.25	https://api.glygen.org/glycan/image/G00037MO	https://www.glygen.org/glycan/G00037MO
25257164	G31736BK	25257164	HexNAc2	424.17	https://api.glygen.org/glycan/image/G31736BK	https://www.glygen.org/glycan/G31736BK
3010289	G37135JQ	3010289	Hex7 HexNAc2	1558.54	https://api.glygen.org/glycan/image/G37135JQ	https://www.glygen.org/glycan/G37135JQ
3010290	G60230HH	3010290	Hex9 HexNAc2	1882.64	https://api.glygen.org/glycan/image/G60230HH	https://www.glygen.org/glycan/G60230HH
3085216	G38710SX	3085216	Hex3 HexNAc1 NeuAc2	1289.44	https://api.glygen.org/glycan/image/G38710SX	https://www.glygen.org/glycan/G38710SX
35717	G27025MB	35717	HexNAc1	221.09	https://api.glygen.org/glycan/image/G27025MB	https://www.glygen.org/glycan/G27025MB
439174	G64581RP	439174	HexNAc1	221.09	https://api.glygen.org/glycan/image/G64581RP	https://www.glygen.org/glycan/G64581RP
439177	G99991IU	439177	Hex4	666.22	https://api.glygen.org/glycan/image/G99991IU	https://www.glygen.org/glycan/G99991IU
439197	G81533KY	439197	NeuAc1	309.11	https://api.glygen.org/glycan/image/G81533KY	https://www.glygen.org/glycan/G81533KY
439213	G80384UV	439213	HexN1	179.08	https://api.glygen.org/glycan/image/G80384UV	https://www.glygen.org/glycan/G80384UV
439271	G00055MO	439271	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G00055MO	https://www.glygen.org/glycan/G00055MO
439326	G42666HT	439326	HexNAc2	424.17	https://api.glygen.org/glycan/image/G42666HT	https://www.glygen.org/glycan/G42666HT
439353	G65889KE	439353	Hex1	180.06	https://api.glygen.org/glycan/image/G65889KE	https://www.glygen.org/glycan/G65889KE
439357	G09546QO	439357	Hex1	180.06	https://api.glygen.org/glycan/image/G09546QO	https://www.glygen.org/glycan/G09546QO
439544	G07982RO	439544	HexNAc2	424.17	https://api.glygen.org/glycan/image/G07982RO	https://www.glygen.org/glycan/G07982RO
439554	G96881BQ	439554	dHex1	164.07	https://api.glygen.org/glycan/image/G96881BQ	https://www.glygen.org/glycan/G96881BQ
439710	G38999IM	439710	Other1	164.07	https://api.glygen.org/glycan/image/G38999IM	https://www.glygen.org/glycan/G38999IM
