pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
1054	https://pubchem.ncbi.nlm.nih.gov/compound/1054	2836	https://drugcentral.org/drugcard/2836		
1110	https://pubchem.ncbi.nlm.nih.gov/compound/1110	2487	https://drugcentral.org/drugcard/2487		
1123	https://pubchem.ncbi.nlm.nih.gov/compound/1123	4486	https://drugcentral.org/drugcard/4486		
1130	https://pubchem.ncbi.nlm.nih.gov/compound/1130	2832	https://drugcentral.org/drugcard/2832		
1176	https://pubchem.ncbi.nlm.nih.gov/compound/1176	4264	https://drugcentral.org/drugcard/4264		
1234	https://pubchem.ncbi.nlm.nih.gov/compound/1234	1275	https://drugcentral.org/drugcard/1275		
1238	https://pubchem.ncbi.nlm.nih.gov/compound/1238	3912	https://drugcentral.org/drugcard/3912		
1292	https://pubchem.ncbi.nlm.nih.gov/compound/1292	1629	https://drugcentral.org/drugcard/1629		
1533	https://pubchem.ncbi.nlm.nih.gov/compound/1533	172	https://drugcentral.org/drugcard/172		
1570	https://pubchem.ncbi.nlm.nih.gov/compound/1570	3508	https://drugcentral.org/drugcard/3508		
1662	https://pubchem.ncbi.nlm.nih.gov/compound/1662	1670	https://drugcentral.org/drugcard/1670		
1676	https://pubchem.ncbi.nlm.nih.gov/compound/1676	1015	https://drugcentral.org/drugcard/1015		
1684	https://pubchem.ncbi.nlm.nih.gov/compound/1684	4690	https://drugcentral.org/drugcard/4690		
1727	https://pubchem.ncbi.nlm.nih.gov/compound/1727	4163	https://drugcentral.org/drugcard/4163		
1775	https://pubchem.ncbi.nlm.nih.gov/compound/1775	2152	https://drugcentral.org/drugcard/2152		
1892	https://pubchem.ncbi.nlm.nih.gov/compound/1892	1107	https://drugcentral.org/drugcard/1107		
1923	https://pubchem.ncbi.nlm.nih.gov/compound/1923	3290	https://drugcentral.org/drugcard/3290		
1935	https://pubchem.ncbi.nlm.nih.gov/compound/1935	2551	https://drugcentral.org/drugcard/2551		
1978	https://pubchem.ncbi.nlm.nih.gov/compound/1978	40	https://drugcentral.org/drugcard/40		
1979	https://pubchem.ncbi.nlm.nih.gov/compound/1979	4314	https://drugcentral.org/drugcard/4314		
1981	https://pubchem.ncbi.nlm.nih.gov/compound/1981	47	https://drugcentral.org/drugcard/47		
1983	https://pubchem.ncbi.nlm.nih.gov/compound/1983	52	https://drugcentral.org/drugcard/52		
1984	https://pubchem.ncbi.nlm.nih.gov/compound/1984	53	https://drugcentral.org/drugcard/53		
1985	https://pubchem.ncbi.nlm.nih.gov/compound/1985	55	https://drugcentral.org/drugcard/55		
1986	https://pubchem.ncbi.nlm.nih.gov/compound/1986	56	https://drugcentral.org/drugcard/56		
1989	https://pubchem.ncbi.nlm.nih.gov/compound/1989	57	https://drugcentral.org/drugcard/57		
1990	https://pubchem.ncbi.nlm.nih.gov/compound/1990	58	https://drugcentral.org/drugcard/58		
1993	https://pubchem.ncbi.nlm.nih.gov/compound/1993	1726	https://drugcentral.org/drugcard/1726		
1995	https://pubchem.ncbi.nlm.nih.gov/compound/1995	71	https://drugcentral.org/drugcard/71		
1999	https://pubchem.ncbi.nlm.nih.gov/compound/1999	72	https://drugcentral.org/drugcard/72		
2005	https://pubchem.ncbi.nlm.nih.gov/compound/2005	3000	https://drugcentral.org/drugcard/3000		
2006	https://pubchem.ncbi.nlm.nih.gov/compound/2006	77	https://drugcentral.org/drugcard/77		
2009	https://pubchem.ncbi.nlm.nih.gov/compound/2009	81	https://drugcentral.org/drugcard/81		
2017	https://pubchem.ncbi.nlm.nih.gov/compound/2017	3194	https://drugcentral.org/drugcard/3194		
2018	https://pubchem.ncbi.nlm.nih.gov/compound/2018	84	https://drugcentral.org/drugcard/84		
2031	https://pubchem.ncbi.nlm.nih.gov/compound/2031	94	https://drugcentral.org/drugcard/94		
2040	https://pubchem.ncbi.nlm.nih.gov/compound/2040	98	https://drugcentral.org/drugcard/98		
2082	https://pubchem.ncbi.nlm.nih.gov/compound/2082	103	https://drugcentral.org/drugcard/103		
2083	https://pubchem.ncbi.nlm.nih.gov/compound/2083	105	https://drugcentral.org/drugcard/105		
2088	https://pubchem.ncbi.nlm.nih.gov/compound/2088	112	https://drugcentral.org/drugcard/112		
2090	https://pubchem.ncbi.nlm.nih.gov/compound/2090	113	https://drugcentral.org/drugcard/113		
2092	https://pubchem.ncbi.nlm.nih.gov/compound/2092	115	https://drugcentral.org/drugcard/115		
2097	https://pubchem.ncbi.nlm.nih.gov/compound/2097	126	https://drugcentral.org/drugcard/126		
2099	https://pubchem.ncbi.nlm.nih.gov/compound/2099	129	https://drugcentral.org/drugcard/129		
2118	https://pubchem.ncbi.nlm.nih.gov/compound/2118	136	https://drugcentral.org/drugcard/136		
2119	https://pubchem.ncbi.nlm.nih.gov/compound/2119	137	https://drugcentral.org/drugcard/137		
2122	https://pubchem.ncbi.nlm.nih.gov/compound/2122	140	https://drugcentral.org/drugcard/140		
2123	https://pubchem.ncbi.nlm.nih.gov/compound/2123	141	https://drugcentral.org/drugcard/141		
2130	https://pubchem.ncbi.nlm.nih.gov/compound/2130	144	https://drugcentral.org/drugcard/144		
2131	https://pubchem.ncbi.nlm.nih.gov/compound/2131	146	https://drugcentral.org/drugcard/146		
2132	https://pubchem.ncbi.nlm.nih.gov/compound/2132	147	https://drugcentral.org/drugcard/147		
2140	https://pubchem.ncbi.nlm.nih.gov/compound/2140	851	https://drugcentral.org/drugcard/851		
2141	https://pubchem.ncbi.nlm.nih.gov/compound/2141	156	https://drugcentral.org/drugcard/156		
2145	https://pubchem.ncbi.nlm.nih.gov/compound/2145	164	https://drugcentral.org/drugcard/164		
2148	https://pubchem.ncbi.nlm.nih.gov/compound/2148	165	https://drugcentral.org/drugcard/165		
2149	https://pubchem.ncbi.nlm.nih.gov/compound/2149	1263	https://drugcentral.org/drugcard/1263		
2153	https://pubchem.ncbi.nlm.nih.gov/compound/2153	2620	https://drugcentral.org/drugcard/2620		
2157	https://pubchem.ncbi.nlm.nih.gov/compound/2157	176	https://drugcentral.org/drugcard/176		
