UNIPROT_AC	DO_ID
O75364	DOID:0060648|DOID:0080606|DOID:0110249
O75369	DOID:0050648|DOID:0050680|DOID:0090116|DOID:14764
O75380	DOID:0112073
O75381	DOID:0080487
O75398	DOID:0070054
O75417	DOID:1612
O75419	DOID:0080518
O75439	DOID:0070332
O75443	DOID:0110479|DOID:0110544
O75445	DOID:0110360|DOID:0110838
O75462	DOID:0060294|DOID:0080329
O75477	DOID:0110813
O75487	DOID:0111842
O75489	DOID:0112081
O75496	DOID:0080517
O75503	DOID:0110728
O75553	DOID:0050984
O75558	DOID:0110924
O75569	DOID:0090048
O75581	DOID:3393
O75616	DOID:0080256
O75643	DOID:0110366
O75648	DOID:0080778|DOID:0111734
O75665	DOID:0060316|DOID:0080342|DOID:0110412|DOID:0110981
O75694	DOID:0050650
O75695	DOID:0110415
O75712	DOID:0050467|DOID:0110559|DOID:0111195
O75718	DOID:0110337
O75746	DOID:0080349
O75762	DOID:0111728|DOID:0111729
O75787	DOID:0060806|DOID:0112105
O75792	DOID:0050629
O75800	DOID:0110597
O75838	DOID:0110505|DOID:0110836
O75844	DOID:0060762
O75874	DOID:3070
O75879	DOID:0112119
O75881	DOID:0110810|DOID:0111070
O75899	DOID:0080291
O75907	DOID:0060778
O75914	DOID:0112051
O75916	DOID:0050335
O75923	DOID:0070198|DOID:0070199|DOID:0110276|DOID:0111187
O75962	DOID:0070074
O75970	DOID:10908
O76024	DOID:0080584|DOID:0110241|DOID:0110584|DOID:0110629
O76082	DOID:14365
O76090	DOID:0050661|DOID:0050662|DOID:0110396|DOID:0111569
O94761	DOID:0050654|DOID:0050774|DOID:2732
O94766	DOID:0080575
O94777	DOID:0080571
O94804	DOID:5557
O94830	DOID:0110806
O94855	DOID:0060438
O94885	DOID:0060304
O94898	DOID:0050816
O94903	DOID:0080769
O94905	DOID:0110771
O94906	DOID:0110411
O94972	DOID:0050436
O95136	DOID:0110519
O95140	DOID:0080068|DOID:0110155|DOID:0111557
O95163	DOID:11589
O95169	DOID:0112080
O95185	DOID:0080348
O95237	DOID:0110188
O95239	DOID:0112040
O95248	DOID:0110194
O95255	DOID:0050644|DOID:2738
O95263	DOID:0060280|DOID:4751
O95267	DOID:0111980|DOID:9074
O95292	DOID:0050752|DOID:0111194
O95299	DOID:0112069
O95340	DOID:0050812
O95342	DOID:0070222|DOID:0070232
O95343	DOID:0110872
O95363	DOID:0110822|DOID:0111477
O95389	DOID:0090004
O95394	DOID:0111953
O95409	DOID:0110878
O95425	DOID:0112108
O95427	DOID:0080138|DOID:0080503
O95436	DOID:12117
O95450	DOID:0080733
O95452	DOID:0110476|DOID:0110565|DOID:14693
O95453	DOID:0070024
O95461	DOID:0110637|DOID:0111242
O95470	DOID:0080265
O95475	DOID:0080635
O95477	DOID:1388
O95479	DOID:0090139|DOID:0090141
O95484	DOID:0112162
O95500	DOID:0110487
O95528	DOID:0050645
O95551	DOID:0111613
O95571	DOID:0060640
O95602	DOID:0060353
O95613	DOID:0060609
O95672	DOID:0111594
O95677	DOID:0110440|DOID:0110542
O95678	DOID:0111702
O95714	DOID:0060308
O95721	DOID:0060337
O95817	DOID:0080097|DOID:0110448
O95831	DOID:0110212|DOID:0111502|DOID:0111741
O95859	DOID:0111408
O95876	DOID:0110137|DOID:0111591
O95932	DOID:0050982
O95935	DOID:0080207
O95947	DOID:0050568
O95954	DOID:0111679
O95967	DOID:0070133
O95970	DOID:0060748
O95972	DOID:0080494
O95995	DOID:0110619
O95996	DOID:0112104
O95999	DOID:0050909|DOID:0111939
O96000	DOID:0112139
O96007	DOID:0111163
O96017	DOID:0111504|DOID:10283|DOID:1612|DOID:3347
P00156	DOID:0080198|DOID:705
P00367	DOID:0070217
P00374	DOID:13382
P00395	DOID:0080108|DOID:0111751|DOID:3762|DOID:705|DOID:9256
P00403	DOID:3762
P00414	DOID:0080108|DOID:3762|DOID:705
P00439	DOID:9281
P00441	DOID:0060193|DOID:332
P00450	DOID:0050711
P00451	DOID:0111823|DOID:12134
P00480	DOID:9271
P00488	DOID:2211
P00491	DOID:5813
P00492	DOID:0112127|DOID:1919
P00505	DOID:0080715
P00519	DOID:8552
P00533	DOID:1324
P00558	DOID:0111933
P00568	DOID:583
P00734	DOID:0080701|DOID:2235|DOID:2452|DOID:3526
P00740	DOID:0111899|DOID:12259
P00742	DOID:2222
P00747	DOID:0111592
P00748	DOID:14735|DOID:2231
P00749	DOID:0111050
P00751	DOID:0110026
P00797	DOID:0060062
P00813	DOID:5810
P00846	DOID:0111184|DOID:0111273|DOID:0111748|DOID:0111750|DOID:0111753|DOID:3652|DOID:4751|DOID:705
P00918	DOID:0110941
P00966	DOID:0070340
P00995	DOID:4989
P01008	DOID:3755
P01009	DOID:13372
P01019	DOID:10825
P01024	DOID:0110021|DOID:8354
P01031	DOID:8158
P01034	DOID:0070027|DOID:0110023
P01042	DOID:0111676
P01106	DOID:8584
P01111	DOID:0050458|DOID:0060584|DOID:0110117|DOID:0111162|DOID:0111359|DOID:3962
P01112	DOID:0050469|DOID:0111530|DOID:11054|DOID:3962
P01116	DOID:0050458|DOID:0060581|DOID:0111461|DOID:0111530|DOID:0111705|DOID:10534|DOID:9119
P01127	DOID:0060230|DOID:3507
P01130	DOID:13810
P01133	DOID:0060882
P01137	DOID:4997
P01138	DOID:0070145
P01148	DOID:0090072
P01160	DOID:0050650|DOID:0080663
P01185	DOID:12388
P01189	DOID:9970
P01213	DOID:0050973
P01222	DOID:0070123
P01225	DOID:0090088
P01229	DOID:0090091
P01241	DOID:0060872|DOID:0060873|DOID:0060874
P01270	DOID:0111387
P01308	DOID:0110741|DOID:0111108
P01344	DOID:14681
P01374	DOID:9008
P01375	DOID:9008
P01579	DOID:0112006|DOID:12449
P01588	DOID:0080290
P01589	DOID:0110749|DOID:0111968
P01848	DOID:0111977
P01857	DOID:9538
P01871	DOID:2583
P01889	DOID:0050426|DOID:0080603|DOID:7147
P01911	DOID:7148
P02452	DOID:0080727|DOID:0110334|DOID:0110339|DOID:0110340|DOID:0110341|DOID:11476|DOID:12347|DOID:13359|DOID:14720|DOID:3507|DOID:4257
P02461	DOID:14756
P02462	DOID:0090125|DOID:0111547
P02489	DOID:0110266
P02511	DOID:0080093|DOID:0080309|DOID:0110250|DOID:0110450
P02533	DOID:0060735|DOID:0080510|DOID:0080511|DOID:0111342|DOID:0111528|DOID:4644
P02545	DOID:0060762|DOID:0070202|DOID:0070247|DOID:0070248|DOID:0110156|DOID:0110425|DOID:0110640|DOID:0111584|DOID:11712|DOID:12930|DOID:3911
P02549	DOID:0110918|DOID:2373
P02647	DOID:0050636
P02649	DOID:0110035|DOID:3145|DOID:4423
P02655	DOID:0111418
P02656	DOID:0111370
P02671	DOID:0050636|DOID:2236
P02675	DOID:2236
P02679	DOID:2236
P02689	DOID:0111560
P02708	DOID:0080110|DOID:0110662|DOID:0110663|DOID:3635|DOID:437
P02730	DOID:0110919|DOID:2373
P02748	DOID:0060303|DOID:0110027
P02765	DOID:0080627|DOID:0080628
P02766	DOID:0050638|DOID:0080219|DOID:12169
P02786	DOID:0111948
P02787	DOID:0050649
P02792	DOID:0110737|DOID:0111256
P02794	DOID:0111031
P03886	DOID:3687|DOID:705|DOID:9352
P03891	DOID:3652|DOID:705
P03897	DOID:0112101|DOID:3652
P03901	DOID:705
P03905	DOID:0111755|DOID:3687|DOID:705
P03915	DOID:3652|DOID:3687|DOID:705
P03923	DOID:0111755|DOID:3652|DOID:3687|DOID:705
P03928	DOID:0111753
P03950	DOID:0060200
P03951	DOID:2229
P03971	DOID:0050791
P03999	DOID:11661
P04000	DOID:0050679|DOID:13910
P04001	DOID:0050679|DOID:13909
P04040	DOID:2582
P04049	DOID:0060583|DOID:0080549|DOID:0110432
P04062	DOID:0060892|DOID:0110957|DOID:0110958|DOID:0110959|DOID:0110960|DOID:14330
P04066	DOID:14500
P04070	DOID:0111904|DOID:0111909
P04080	DOID:0111452|DOID:891
P04114	DOID:0111062
P04156	DOID:0050433|DOID:0090103|DOID:11949|DOID:4249
P04180	DOID:1391
P04181	DOID:1415
P04196	DOID:0111903
P04198	DOID:0060464
P04234	DOID:0111972
P04264	DOID:0050428|DOID:4603
P04275	DOID:0060573|DOID:0060574|DOID:0111054
P04350	DOID:0060798|DOID:0090041
P04424	DOID:14755
P04439	DOID:9744
P04626	DOID:10534|DOID:1324|DOID:2394|DOID:3070
P04628	DOID:0110347|DOID:11476
P04629	DOID:0070146
P04637	DOID:0111503|DOID:1324|DOID:2626|DOID:3012|DOID:3948|DOID:5041|DOID:5520
P04792	DOID:0110163|DOID:0111207
P04839	DOID:0070195|DOID:0112000
P05023	DOID:0111558
P05062	DOID:9869
P05067	DOID:0070028|DOID:0080348
P05089	DOID:9278
P05093	DOID:0050811
P05107	DOID:0110910
P05108	DOID:0050546
P05112	DOID:3526
P05129	DOID:0050964
P05155	DOID:14735
P05156	DOID:0050419|DOID:0110025
P05160	DOID:2211
P05161	DOID:0111934
P05165	DOID:14701
P05166	DOID:14701
P05186	DOID:0110913|DOID:0110914|DOID:0110915
P05231	DOID:676
P05546	DOID:0111901
P05549	DOID:0050691
P05813	DOID:0110258
P05997	DOID:0080726
P06132	DOID:3132
P06213	DOID:0050470|DOID:0070220|DOID:9352
P06239	DOID:0111937
P06280	DOID:14499
P06396	DOID:0050637
P06400	DOID:11054|DOID:3347|DOID:768
P06681	DOID:0060295|DOID:0110026
P06737	DOID:2754
P06744	DOID:2861
P06753	DOID:0080102|DOID:0110926
P06858	DOID:13809|DOID:14118
P06865	DOID:3320|DOID:4795
P07196	DOID:0080294|DOID:0110149|DOID:0110165
P07204	DOID:0111908
P07225	DOID:0111900|DOID:0111905
P07237	DOID:0060438
P07315	DOID:0110235
P07316	DOID:0110236
P07320	DOID:0110234
P07333	DOID:0080523
P07339	DOID:0110725
P07357	DOID:0060301
P07358	DOID:0060302
P07359	DOID:0111056|DOID:0111059|DOID:2217
P07384	DOID:0110821
P07437	DOID:0090136
P07477	DOID:4989
P07510	DOID:0080110
P07585	DOID:0060445
P07602	DOID:0110961|DOID:0111330|DOID:10581
P07686	DOID:3323
P07737	DOID:0060209
P07738	DOID:0111630
P07741	DOID:0060350
P07766	DOID:0111971
P07902	DOID:0111459
P07911	DOID:0060062
P07942	DOID:0050453
P07949	DOID:0050430|DOID:0050547|DOID:0050771|DOID:0060731|DOID:10016|DOID:9256
P07951	DOID:0110932|DOID:0111597
P07954	DOID:0111261
P07988	DOID:12120|DOID:12716
P08034	DOID:0050540|DOID:0110209
P08100	DOID:0110372|DOID:0110862
P08118	DOID:10283
P08123	DOID:0080728|DOID:0080730|DOID:0110334|DOID:0110339|DOID:0110340|DOID:0110341|DOID:12347
P08172	DOID:0050741|DOID:1595
P08174	DOID:10611
P08183	DOID:0110893
P08185	DOID:0090030
P08235	DOID:0060855
P08236	DOID:12803
P08237	DOID:11721
P08246	DOID:0050590|DOID:0080625|DOID:5339
P08247	DOID:0112035
P08397	DOID:3890
P08473	DOID:0110160|DOID:0111745
P08514	DOID:0060691|DOID:2219
P08559	DOID:3649
P08572	DOID:0060263
P08574	DOID:0080115
P08581	DOID:0110539|DOID:4465|DOID:684
P08590	DOID:0110314
P08603	DOID:0060746|DOID:0110017
P08637	DOID:0111941
P08670	DOID:0110248
P08686	DOID:0050811
P08697	DOID:0060601
P08708	DOID:0111890
P08709	DOID:2215
P08779	DOID:0050449|DOID:0111709
P08842	DOID:1700
P08908	DOID:9620
P08F94	DOID:0110861
P09001	DOID:0111472
P09172	DOID:0090145
P09467	DOID:5204
P09471	DOID:0080450
P09486	DOID:0110338
P09493	DOID:0110309|DOID:0110457
P09543	DOID:0112153
P09619	DOID:0050458|DOID:0060230|DOID:0080109|DOID:0111344|DOID:9119
P09622	DOID:9269
P09651	DOID:0060211|DOID:0111386
P09693	DOID:0111973
P09758	DOID:0060449
P09848	DOID:0111646
P09884	DOID:0111834|DOID:0111840
P0C0E4	DOID:0060830
P0C0L4	DOID:0060002|DOID:0060297|DOID:9074
P0C0L5	DOID:0060298|DOID:9074
P0C7P3	DOID:0111055
P0C7Q2	DOID:0110020
P0CG37	DOID:0050545
P0CW18	DOID:0060835
P0DI81	DOID:0080362
P0DP23	DOID:0060678|DOID:0110655
P0DP24	DOID:0110656
P0DPB6	DOID:0080790
P0DUH7	DOID:0110701
P10071	DOID:1148|DOID:14761|DOID:9248
P10253	DOID:2752
P10275	DOID:0060161|DOID:0080776|DOID:10892|DOID:4674
P10276	DOID:0060318
P10321	DOID:0111286|DOID:8893
P10515	DOID:3649
P10523	DOID:0110369|DOID:0110712
P10600	DOID:0050431|DOID:0070236|DOID:0110070
P10619	DOID:0080540
P10636	DOID:11870|DOID:678|DOID:9255
P10643	DOID:0060300
P10644	DOID:0050471|DOID:0060280|DOID:14669
P10721	DOID:3263|DOID:350|DOID:5557|DOID:9119|DOID:9253
P10745	DOID:0110393
P10746	DOID:13271
P10809	DOID:0060789|DOID:0110766
P10826	DOID:0111800
P10827	DOID:0070128
P10828	DOID:0111374|DOID:11633
P10912	DOID:13810|DOID:9521
P10914	DOID:10534
P10916	DOID:0110316
P11055	DOID:0080110|DOID:0111602|DOID:0111605
P11150	DOID:9352
P11161	DOID:0050540|DOID:0110150|DOID:0110195
P11166	DOID:0090044|DOID:0090045|DOID:0111313
P11171	DOID:2373
P11172	DOID:0050833
P11177	DOID:3649
P11182	DOID:9269
P11215	DOID:9074
P11217	DOID:2746
P11230	DOID:0110680|DOID:0110681
P11274	DOID:8552
P11277	DOID:0110917
P11310	DOID:0080153
P11362	DOID:0090070|DOID:0090083|DOID:0111337|DOID:0111532|DOID:14705
P11413	DOID:2861
P11473	DOID:10609
P11488	DOID:0110714|DOID:0110715
P11498	DOID:3651
P11511	DOID:0090122
P11532	DOID:0110461|DOID:11723|DOID:9883
P11586	DOID:0080074|DOID:9256
P11597	DOID:0111369
P11686	DOID:12120|DOID:12716
P11836	DOID:12177
P11912	DOID:2583
P12034	DOID:0111566
P12035	DOID:0080671
P12036	DOID:0060193|DOID:0110180|DOID:332
P12074	DOID:0110203
P12081	DOID:0110162|DOID:0110842
P12107	DOID:0060465|DOID:0080672|DOID:0080675|DOID:0111510
P12109	DOID:0050558|DOID:0050663
P12110	DOID:0050558|DOID:0050663
P12111	DOID:0050558|DOID:0050663|DOID:0090050
P12235	DOID:0080130|DOID:0080335|DOID:0111517
P12259	DOID:0111902|DOID:11512|DOID:2216|DOID:3526
P12271	DOID:0050683|DOID:0111015|DOID:11105
P12272	DOID:0110976
P12643	DOID:0110965
P12644	DOID:0080404|DOID:0111805
P12694	DOID:9269
P12755	DOID:2340
P12814	DOID:0111053
P12821	DOID:3526
P12830	DOID:0080344|DOID:0080345|DOID:0080764|DOID:1380|DOID:2394
P12883	DOID:0060253|DOID:0070197|DOID:0080326|DOID:0110307|DOID:0110454|DOID:0111268|DOID:0111269
P12955	DOID:0111540
P13051	DOID:0060759
P13224	DOID:2217
P13473	DOID:0050437
P13497	DOID:0110342
P13498	DOID:0070193
P13533	DOID:0110108|DOID:0110320|DOID:0110453
P13535	DOID:0050471|DOID:0111603
P13569	DOID:0111864|DOID:1485
P13637	DOID:0050635|DOID:0090056
P13639	DOID:0050975
P13645	DOID:4603
P13646	DOID:0050448
P13647	DOID:0060256|DOID:0060735|DOID:0080510|DOID:0080511|DOID:0111346|DOID:4644
P13671	DOID:0060299
P13716	DOID:3133
P13797	DOID:11476
P13804	DOID:0060358
P13805	DOID:0110936
P13942	DOID:0080026|DOID:0080673|DOID:0080677|DOID:0110509|DOID:0110545
P14136	DOID:4252
P14138	DOID:0060731|DOID:0110954
P14174	DOID:676
P14210	DOID:0110497
P14222	DOID:0110922
P14314	DOID:0050770
P14410	DOID:0111633
P14416	DOID:0050741
P14598	DOID:0070192
P14672	DOID:9352
P14678	DOID:0111248
P14679	DOID:0050632|DOID:0070094|DOID:0070095|DOID:0090100
P14770	DOID:2217
P14784	DOID:0111997
P14867	DOID:0080431|DOID:0111314
P14920	DOID:5419
P14923	DOID:0080551|DOID:0110083
P14927	DOID:0080112
P15056	DOID:0060060|DOID:0060233|DOID:0060585|DOID:0080550|DOID:0111460|DOID:1324|DOID:9256
P15153	DOID:0112064
P15169	DOID:0111583
P15260	DOID:0111955|DOID:0111956
P15289	DOID:0050441|DOID:10581
P15291	DOID:0070256
P15328	DOID:0050719
P15382	DOID:0110647|DOID:2842
P15391	DOID:12177
P15428	DOID:14283
P15509	DOID:12120
P15538	DOID:0050811|DOID:14080
P15586	DOID:0111402
P15735	DOID:0111043
P15814	DOID:2583
P15848	DOID:0050441|DOID:12800
P15882	DOID:12557
P15884	DOID:0060488|DOID:11555
P15918	DOID:0060010|DOID:0090013
P15924	DOID:0090128|DOID:0110076
P15976	DOID:0111767|DOID:0112156|DOID:1588
P16109	DOID:3526
P16112	DOID:84
P16144	DOID:0060733|DOID:0060738|DOID:0080510
P16157	DOID:0110916
P16219	DOID:0080154
P16234	DOID:9253
P16278	DOID:0080489|DOID:0080501|DOID:0080502|DOID:0111392
P16389	DOID:0080416
P16410	DOID:0110751|DOID:417|DOID:9074
P16422	DOID:0060776|DOID:0070270
P16435	DOID:0050462
P16452	DOID:0110920
P16473	DOID:0050328|DOID:0070126|DOID:7998
P16499	DOID:0110379
P16520	DOID:0110866
P16615	DOID:0050606|DOID:2734
P16671	DOID:0111046
P16871	DOID:0090014|DOID:2377
P16885	DOID:0090064
P16930	DOID:0050726
P17302	DOID:0050651|DOID:0060291|DOID:0080249|DOID:0080802|DOID:0111244|DOID:0111817|DOID:4534|DOID:9955
P17405	DOID:0070111|DOID:0070112
P17516	DOID:0111773
P17600	DOID:0112122
P17612	DOID:0060280
P17643	DOID:0070097
P17661	DOID:0080092|DOID:0080307|DOID:0110431|DOID:0111551
P17735	DOID:0050725
P17787	DOID:0060684
P17812	DOID:0111938
P17813	DOID:1270
P17900	DOID:4795
P18054	DOID:5041|DOID:9256
P18074	DOID:0110845|DOID:0111873|DOID:2960
P18077	DOID:0111883
P18089	DOID:0111692
P18206	DOID:0110321|DOID:0110446
P18505	DOID:0080428
P18507	DOID:0111298|DOID:0111302
P18545	DOID:0110407
P18564	DOID:0110064
P18850	DOID:0110009
P18887	DOID:0080260
P19013	DOID:0050448
P19087	DOID:0110010
P19099	DOID:0080626|DOID:14080
P19235	DOID:0060652|DOID:10780
P19367	DOID:0110196
P19404	DOID:0112092
P19429	DOID:0110313|DOID:0110459|DOID:0110460|DOID:0111425|DOID:397
P19438	DOID:0090018
P19440	DOID:0111257
P19447	DOID:0110850|DOID:0111869
P19544	DOID:0050438|DOID:0080383|DOID:1790|DOID:2154|DOID:3764
P19634	DOID:0080065
P19835	DOID:0111105
P19878	DOID:0070191
P19971	DOID:0070329|DOID:0080119
P20023	DOID:12177
P20062	DOID:0050818
P20155	DOID:0111930
P20226	DOID:0050967
P20292	DOID:3526
P20309	DOID:0060889
P20585	DOID:0080412|DOID:1380
P20594	DOID:0070316|DOID:0080050
P20700	DOID:0060785
P20711	DOID:0090123
P20794	DOID:0110380
P20807	DOID:0110274|DOID:0110275
