cv_id	glytoucan_ac	pubchem_ac
13886040	G79930NT	13886040
13908996	G49764YU	13908996
13938912	G86640EE	13938912
13991612	G47325QT	13991612
14029492	G86237WM	14029492
14131409	G06881DK	14131409
14284866	G76878IQ	14284866
14284870	G98095WS	14284870
14367963	G10203DW	14367963
14389182	G12916RQ	14389182
14389184	G63197YJ	14389184
14561089	G98230LX	14561089
14581601	G10445TA	14581601
14605636	G02045OB	14605636
14605942	G77901GR	14605942
14605945	G68103UN	14605945
14605946	G03723SL	14605946
14647411	G32969VW	14647411
14647413	G61168WC	14647413
14647415	G18221CF	14647415
14647417	G28800UK	14647417
14647419	G81149TB	14647419
14647421	G44183QC	14647421
14647423	G25141CV	14647423
14647425	G77165VD	14647425
14647435	G41759HA	14647435
14682824	G27854BF	14682824
14997609	G66008TU	14997609
152109	G19038KD	152109
1549080	G64694IH	1549080
15559964	G69265FU	15559964
15560011	G97224RI	15560011
15560222	G38028NH	15560222
15560223	G48428NF	15560223
15560224	G47579ND	15560224
15560225	G79757CG	15560225
15560226	G18550QV	15560226
15560227	G75264VM	15560227
15560228	G14606EL	15560228
15560229	G27179LG	15560229
15560230	G77492WA	15560230
15560232	G22309DL	15560232
157355	G26039ES	157355
15958586	G43111IG	15958586
16040232	G97834OQ	16040232
16048618	G54173SV	16048618
160514	G61776FU	160514
16062700	G11423ZI	16062700
161460	G15704AX	161460
161658	G95531HX	161658
16211038	G97953NC	16211038
16212424	G80310IL	16212424
16212626	G18288MA	16212626
16213812	G61071JD	16213812
16216990	G06210XB	16216990
16219440	G78260AJ	16219440
165206	G89565QL	165206
165880	G61406KC	165880
16740919	G75447SI	16740919
167792	G79319EQ	167792
17106	G82576YO	17106
185698	G61491DK	185698
18652485	G36358CR	18652485
18950	G70323CJ	18950
191579	G82236PZ	191579
192435	G06171TF	192435
192826	G96370VA	192826
193395	G17876LI	193395
193406	G55147XG	193406
193531	G72725CZ	193531
195235	G02684WR	195235
195923	G14023WK	195923
196407	G69538FB	196407
196569	G48558GR	196569
196597	G68491QD	196597
196912	G46776WR	196912
197508	G80126GC	197508
21126521	G27589TC	21126521
21145993	G06107IE	21145993
21155774	G63792JF	21155774
21572948	G03861VK	21572948
21596275	G75128XG	21596275
21602383	G16636QX	21602383
21606994	G32986TN	21606994
21606999	G34447AN	21606999
21609383	G70802NR	21609383
21627865	G61488WF	21627865
21627866	G93529IJ	21627866
21627867	G59929GT	21627867
21627868	G02816CI	21627868
21627869	G58474MY	21627869
21627870	G14286ZK	21627870
21670519	G58896AZ	21670519
21670523	G79536OW	21670523
21670525	G01767JJ	21670525
22797711	G75188JR	22797711
22806751	G00047MO	22806751
22875297	G40843KY	22875297
22887034	G34368WA	22887034
23585885	G25708EF	23585885
24139	G49108TO	24139
24744750	G05921XS	24744750
24744751	G49370KH	24744751
24744752	G25435RM	24744752
24744754	G20789WJ	24744754
24777	G30216ZQ	24777
24809553	G09485LV	24809553
24812250	G31761VE	24812250
24820129	G07445YJ	24820129
24826242	G06580KR	24826242
24853840	G10831DK	24853840
24861831	G94768DB	24861831
24882919	G97249VB	24882919
24883457	G24618XK	24883457
24883458	G43512RT	24883458
24936128	G53558DF	24936128
25051133	G09681LD	25051133
25061207	G75113PZ	25061207
