id	glytoucan_ac
21627870	G14286ZK
21670519	G58896AZ
21670523	G79536OW
21670525	G01767JJ
22797711	G75188JR
22806751	G00047MO
22875297	G40843KY
22887034	G34368WA
23585885	G25708EF
24139	G49108TO
24744750	G05921XS
24744751	G49370KH
24744752	G25435RM
24744754	G20789WJ
24777	G30216ZQ
24809553	G09485LV
24812250	G31761VE
24820129	G07445YJ
24826242	G06580KR
24853840	G10831DK
24861831	G94768DB
24882919	G97249VB
24883457	G24618XK
24883458	G43512RT
24936128	G53558DF
25051133	G09681LD
25061207	G75113PZ
25061208	G00035MO
25061209	G95418WH
25061460	G33476GF
25061461	G94798MK
25061463	G12393CD
25062237	G00058MO
25062238	G80494PJ
25069113	G05724WC
25074413	G68179GF
25098607	G17689DH
25193858	G97536OM
25194049	G09342SH
25201920	G76355TG
25202965	G19979XJ
25203969	G35363NM
25203970	G11967GO
25206501	G85378DV
25206502	G68640EZ
25206503	G95341UA
25206504	G36160KT
25207146	G39850EU
25207147	G86950QP
25229562	G00037MO
25257164	G31736BK
25257394	G31160EV
25796555	G71124KE
2724488	G16038XU
29921593	G72504FH
3010289	G37135JQ
3010290	G60230HH
3032806	G20291UE
3034742	G10899AB
3037556	G93924TT
3080780	G03862KK
3082206	G73540DV
3084050	G48124SB
3085216	G38710SX
34173590	G40221BS
35717	G27025MB
37723	G09583ED
439174	G64581RP
439177	G99991IU
439195	G88980IR
439197	G81533KY
439213	G80384UV
439240	G84489FR
439271	G00055MO
439281	G29494LA
439326	G42666HT
439353	G65889KE
439357	G09546QO
439507	G74407MX
439508	G32319HH
439509	G14001GU
439537	G42865BX
439544	G07982RO
439548	G20386CD
439554	G96881BQ
439557	G77384RA
439583	G61899YO
439586	G33575EC
439606	G03116ET
439626	G65718MY
439639	G78800HY
439650	G82562YG
439668	G33569DD
439678	G26478JK
439680	G74840NI
439710	G38999IM
439730	G51535NO
439731	G27752QD
439737	G99739TG
439764	G86614XL
439991	G07348OG
440405	G01534TU
440511	G03499BP
440552	G61418DU
440658	G09165XB
440660	G68137PO
440921	G37615KF
440948	G09454VW
440950	G14338VK
440993	G45827GY
440994	G04616ST
440995	G74621DY
441032	G65726WP
441033	G14783GG
441034	G68146NX
441035	G05946XD
441248	G78436BB
441427	G01055WR
441477	G19577LJ
441481	G51060EL
441487	G74740WV
44229007	G30285SX
44263850	G74724PV
44263858	G51379UR
44263859	G80926OA
44263860	G46476BP
44263861	G20624LQ
44263864	G92612ZM
44263865	G64799PD
443248	G74556OQ
443265	G08545ST
443265	G87575FZ
44405128	G36058ZY
444173	G76849VA
444200	G28403NS
444314	G71133DJ
444344	G33519UO
44456859	G00054MO
44457547	G47379VH
444635	G72548RZ
44472831	G97944IJ
444863	G85196CF
444885	G50850NI
445037	G17927IW
445063	G76571JT
44520707	G18315LD
44560080	G62763GO
445621	G94923PG
445894	G26756OQ
445916	G57226ZS
445935	G98006LH
44610895	G63348GG
44611016	G64642LS
44611309	G98335IX
44611401	G00065MO
44611450	G13003UU
44611452	G00057MO
44611539	G00051MO
44611588	G28868ZC
44611726	G65562ZE
44630447	G83761QN
446495	G87171PZ
446588	G87251UV
446943	G05026ZL
447182	G57624SJ
447347	G15255MA
448165	G78317QO
448388	G17475NE
448390	G41724ZD
448469	G92323ZH
448702	G29729DF
448924	G06996VN
448925	G08806VI
449462	G35170ES
449526	G85923WX
45259172	G74665DT
45266781	G40183QN
45266782	G03006JP
45266843	G18625KA
45266844	G02657AK
45266845	G79389NT
45266846	G37184KW
45266861	G46677TE
45266862	G98544DH
45266863	G68110IF
45266894	G92175CL
45266908	G00052MO
45480564	G26295XE
45480566	G35178XK
45480568	G39211DH
45480569	G00048MO
45480570	G92795ML
45480579	G53868KU
45480580	G97542CQ
45480610	G92536LD
46173715	G73889ZZ
46173743	G20957WZ
46224570	G86123DJ
46224576	G49930HB
46224578	G98890AB
46224582	G43697DU
46224603	G63336AX
46226523	G64943CI
46229569	G95902TY
46236626	G88978UV
46237286	G73646HZ
46238071	G71031GX
46878593	G62056VT
46878594	G54021WX
46878595	G68856EP
46878601	G63363XX
46906058	G59901EA
46906074	G33395TI
46906083	G87315SO
46906084	G60859DF
46906085	G45388GV
46906086	G55958KV
46906103	G54406UD
46931125	G27786ED
46936555	G30590KA
46940462	G18933GR
493591	G24381FI
49792066	G72506RN
49852395	G16612QG
49852396	G50417QY
49852424	G55205ZV
49852447	G47548GA
49852448	G00066MO
49852453	G51964GO
49864523	G79924RM
49864582	G35932AR
49864586	G52187WF
49867276	G23046QV
50909794	G44688AW
50909801	G94480CC
50909802	G01650PH
50909806	G74917JX
50909807	G98173LG
50909809	G50540JU
50909810	G83916HL
50909826	G80699WY
50909828	G55555OK
50909844	G09955UR
50909845	G79535HZ
50991837	G00601UG
50992085	G47928KI
50992086	G21066IE
50992178	G19017MP
51351650	G15305CQ
51351664	G78413IP
51351665	G74780ZE
51351666	G76595RI
51351677	G71832QJ
51351681	G02594WS
51351691	G31709QL
51351696	G59945HS
51351725	G97100OC
51351731	G10430NG
51351734	G29570QA
51351759	G59103JC
51351763	G83621YS
51351770	G41383WH
51351775	G29751MN
51351800	G36123IU
51351801	G47773BX
51351802	G84596VQ
51351803	G60268QL
51351805	G04941YC
51546380	G68596GJ
5279514	G00049MO
5279515	G00059MO
5287767	G41202OE
5287768	G00152LK
5287771	G75242TK
5287805	G80812WN
5287806	G91924WY
5287808	G26320VF
5287993	G41078PD
5288272	G61399NC
5288275	G00068MO
5288276	G46248BN
5288277	G23034ZK
5288278	G57548NB
5288293	G39023AU
5288294	G65372SM
5288340	G95894VW
5288347	G00031MO
5288350	G67988RO
5288355	G41327HW
5288356	G92561HL
5288360	G81345OW
5288361	G51591NI
5288378	G42003FG
5288408	G12182VX
5288409	G91368RN
5288413	G59925KQ
5288420	G33695HX
5288421	G05704WW
5288424	G91237TK
5288427	G99976JK
5288428	G00025MO
5288732	G66787RA
5288734	G39767HX
5288738	G00091RT
5288739	G53402KW
5288743	G29301NP
5288744	G75411YK
5288745	G00619DD
5288756	G09899NJ
5288765	G34646VD
5288766	G83092KI
5288768	G00891MP
5288769	G78926JO
5288770	G58879KH
5288772	G71885AB
5288884	G71817IG
5288885	G19266OP
5288886	G83663RK
5288888	G85856KC
5288889	G00061MO
5288893	G98135ER
5288896	G36414FS
5288898	G01361SX
5288902	G83540EL
5288903	G19089MC
5288905	G21469TE
5288907	G92606DY
5288910	G61459JW
5288921	G22768VO
5288963	G92805XC
5288967	G34442SS
5288972	G07670VS
5288973	G93613RO
5289009	G18253ON
5289010	G19524AS
5289011	G54826OZ
5289352	G78706CK
5289353	G12295TB
5289361	G14000ZZ
5289366	G30207PZ
5289367	G83513YI
5289369	G63069TR
52921575	G81596CU
52921582	G69726TU
52921591	G02240AO
52921594	G50886AE
52921598	G96504YE
52921604	G25651TK
52921608	G63114QE
52921613	G64973KT
52921614	G99348KL
52921616	G46885EU
52921638	G45207BM
52921646	G72027KO
52921653	G94435QH
52921654	G35778AN
52921655	G73108NW
52921656	G00033MO
52921668	G99269VI
52939789	G24432YB
5311110	G55614WT
5317448	G24361QY
5319249	G20420WT
5319263	G34468EW
5319264	G35338PW
5321399	G65070VQ
53239691	G99053DY
53239694	G97013VN
53239699	G99454KR
53239701	G60233WN
53239702	G35915AS
53239703	G15973YF
53239704	G17480GI
53239705	G02710ET
53239706	G80141XN
53239707	G83638RK
53239708	G33018IJ
53239713	G21727XX
53239714	G16353SN
53239716	G82455MC
53239717	G50348ER
53239718	G34068XZ
53239730	G11971MR
53239752	G75206XT
53239753	G80587NA
53239769	G58507AZ
53239770	G17108EX
53239771	G99315PE
53239789	G53190JD
53239796	G88393MK
53239800	G39064VB
53244998	G65832SQ
53245190	G99172BA
53245191	G57474XD
53249955	G86237UF
53262298	G58399HX
53262301	G70115XG
53262308	G55601IV
53262323	G43081BK
53262326	G58202EC
53262329	G53410DD
53262334	G44345UH
53262341	G94097TZ
53262355	G42553JB
53262359	G66163TI
53262364	G88544LM
53262369	G49963IQ
53262374	G39896WY
53262375	G32968SR
53262376	G74353FF
53262382	G26929DQ
53262385	G41082WI
53262389	G74609HP
53262392	G34473LL
53262393	G09494DM
5326971	G40696TO
53353899	G45273EO
53356679	G22046GD
53356680	G54604OG
53356681	G94934HZ
53356688	G83633HB
53356699	G91532KA
53356701	G32679VL
53356702	G66892DM
53356709	G08926IP
53356710	G51744MD
53356713	G30807YB
53356727	G13040AD
53356728	G71416GU
53356729	G46613JI
53356730	G94956AW
53356732	G00053MO
53477581	G70021RH
53477583	G38322AX
53477588	G42346RJ
53477589	G47715OE
53477602	G74668VC
53477625	G62942HO
53477630	G97501MA
53477647	G66086EX
53477650	G24499XE
53477669	G01132FQ
53477853	G35893LO
53481024	G78098IA
53664872	G29169IA
53664873	G64380CO
53664874	G53838GP
53664875	G18904MY
53664876	G57185FG
53664877	G96115ZO
53664878	G23221OS
53664879	G78215OT
53664880	G08719OP
53664881	G30999DM
53664882	G60371GE
53664883	G06064JO
53664884	G01103GR
53664885	G25692BO
53710881	G82455WQ
53761323	G73698CD
53775013	G35718QG
53778848	G14651SS
53793176	G99909LZ
53810986	G12499UL
53810987	G55967QW
53852982	G15513ZS
53871978	G01846YN
53879659	G87156SE
53966394	G30352TK
53971868	G09126MW
53993863	G64857YA
54078377	G46960QD
54122455	G34926IG
54157542	G18721GF
54157543	G56175CL
54229533	G87206FM
54238576	G55738TQ
54333164	G58645HA
54405360	G23909UE
54405361	G25296NU
54476451	G05261VC
54486861	G87236NR
54491418	G88880RW
5459926	G27798EJ
5459972	G29966LR
5460291	G47203JO
54613776	G96107VY
56608387	G29369RY
56611748	G41752RI
56611864	G00041MO
56613011	G86448FA
56613364	G79379XF
56618025	G41806QY
56620703	G29142KQ
56622820	G98412TA
56625777	G00977CB
56627468	G75472OU
56629677	G59782MA
56632371	G42117ON
56635286	G31564ST
56635881	G62676CG
56636285	G76837VW
56636821	G82153MA
56835915	G70213NR
56836111	G51699SI
56836112	G31135WM
56836117	G65236OQ
56836176	G71230WH
56836177	G20044TD
56836390	G84034JH
56927742	G30309UU
56927753	G56682BC
56927771	G88313DY
56927779	G31734OS
56927821	G67272YR
56927864	G93575MM
56927890	G69188UM
56927913	G63035DM
56927921	G86385RC
56927981	G80016QC
56955905	G02729OV
56968990	G34748JC
56969449	G26983UO
56992651	G35446HX
57045116	G54062JB
57339194	G48898TH
57339202	G02747VH
57339247	G26934CO
57344538	G16348WN
57473720	G39346UP
5779	G31080DL
5793	G15021LG
6027	G03144EF
6036	G68158BT
6102353	G33546ZK
6102790	G25481SL
6134	G84224TW
6321330	G48232PN
6323336	G80636BF
6323504	G74861PZ
6325432	G93931KM
6326183	G28148HG
639461	G55914PY
641630	G27459WV
641631	G21112ZO
642638	G10688BO
643995	G87492XO
644160	G01550VL
644170	G74060NY
644176	G95233PP
6454902	G44856HU
64689	G71142DF
6540298	G00395FS
65550	G88438YV
6560213	G10338IN
656504	G40748TG
656944	G79333MY
6602503	G54976AD
66308	G16391NR
66574951	G97222OW
66574984	G43686JS
66574985	G64500KY
67350816	G02252NT
67375559	G23467VT
67610356	G38478SQ
67702969	G09507TI
67743883	G61055FR
67810472	G50190XI
68544316	G47100PE
6857376	G93818VU
6857384	G64007OP
6857717	G50487YA
68812359	G56670LK
6902	G91625IP
69116425	G18982ND
69164048	G78600GX
6918014	G48646LG
69617265	G36926YT
69620814	G71587NH
6971003	G15768VA
6971004	G69976ZM
6971005	G40725TK
6971007	G76622SI
6971016	G30086RR
6971096	G24741VO
6971097	G76262KF
6971098	G62164YY
69903934	G12885FH
69905492	G71689LT
6992018	G72539IR
6992021	G24050VV
6992084	G59396XU
70094729	G73728WQ
7018164	G96584NP
7019000	G64224MK
7043897	G92851LM
7044038	G63875KV
7044039	G81394BJ
7048819	G44396YZ
7059433	G56095AU
70678533	G97423JA
70678538	G47876BP
70678540	G20228HQ
70678556	G39269SV
70678613	G62117RR
70678640	G25615CH
70678645	G00050MO
70678649	G18859KD
70678651	G44411RJ
70678661	G97763JB
70678663	G05908GN
70678668	G84693CG
70678669	G04497XO
70678687	G38121JC
70678696	G91768NO
70678698	G51176DS
70678711	G42236WQ
70678718	G71121NN
70678723	G26555CS
70678726	G67646HL
70678735	G50645ZL
70678779	G40569DS
70678800	G88998BE
70678810	G25407RZ
70678824	G95595RA
70678825	G27432KC
70678867	G64050LH
70678868	G81697WS
70678893	G85213RR
70678906	G34356AA
70678907	G92743LI
70678908	G60713GB
70678911	G21808VY
70678912	G24095BS
70678913	G07357YR
70678929	G90719NY
70678930	G09938IH
70678933	G08176ZW
70678935	G26298FT
70678936	G70573KH
70678938	G04624DG
70678943	G09482NW
70678946	G29548YX
70678947	G20744UW
70678948	G01759NM
70678954	G13058JI
70678956	G36698XD
70678957	G06873PC
70678959	G04187IN
70678962	G96865DJ
70678968	G72822QF
70678969	G29014XV
70678972	G26166QH
70678974	G43784HS
70678979	G09921WG
70678986	G35116BF
70678988	G74709RD
70678989	G64633BH
70678990	G71451AZ
70679009	G02425YO
70679020	G51773AH
70679023	G44738JR
70679026	G85383RY
70679027	G59754DB
70679038	G73971ME
70679039	G12661AN
70679043	G46055MA
70679044	G61730RY
70679046	G01935FK
70679097	G45188RH
70679126	G46568RJ
70679172	G32723SL
70679212	G83666FZ
70679232	G78059CC
70679233	G69411IG
70679237	G75850OP
70679239	G13773HT
70679240	G97894OW
70679241	G30558XQ
70679254	G36191CD
70680270	G20818VS
70680274	G08872UM
70680279	G87813TS
70680282	G51131QL
70680286	G66916RU
70680314	G10666VQ
70680315	G86702JK
70680316	G44375VE
70680317	G07397MN
70680319	G80858MF
70680320	G90725ZC
70680335	G86784SP
70680336	G76607YV
70680337	G39213VZ
70680342	G22185MF
70698305	G34476JC
70698309	G94983ZY
70698310	G57891XD
70698311	G40702WU
70698312	G28663KH
70698313	G47212KG
70698314	G31865AG
70698315	G63337SS
70698317	G01614ZM
70698318	G92252GS
70698321	G80722US
70698323	G32081WS
70698324	G51911JA
70698326	G77252PU
70698328	G51793MY
70698329	G99745QX
70698330	G58232XB
70698331	G03770HX
