ENSEMBL_ID	DO_ID
ENSG00000065534	DOID:14004
ENSG00000065618	DOID:0060738|DOID:0070337
ENSG00000065923	DOID:0111844
ENSG00000066230	DOID:0060777
ENSG00000066279	DOID:0070280
ENSG00000066468	DOID:0050331|DOID:0050462|DOID:0050660|DOID:0111337|DOID:10591|DOID:12960|DOID:14705|DOID:14768|DOID:2339
ENSG00000066629	DOID:0111169
ENSG00000066923	DOID:5426
ENSG00000066926	DOID:13270
ENSG00000067082	DOID:10283|DOID:10534
ENSG00000067177	DOID:0111040
ENSG00000067182	DOID:0090018
ENSG00000067836	DOID:0111668
ENSG00000067842	DOID:0111829
ENSG00000067992	DOID:0110207
ENSG00000068024	DOID:0111704
ENSG00000068078	DOID:0050331|DOID:0060703|DOID:0080041|DOID:0111158|DOID:0111160|DOID:0111161|DOID:0111162|DOID:11054|DOID:13481|DOID:4362|DOID:4480|DOID:5557|DOID:6498|DOID:9538
ENSG00000068120	DOID:0110740
ENSG00000068305	DOID:3393
ENSG00000068366	DOID:0111860|DOID:0112050
ENSG00000068438	DOID:0112034
ENSG00000068615	DOID:0110782|DOID:0111205
ENSG00000068654	DOID:0060353
ENSG00000068724	DOID:14671
ENSG00000068831	DOID:0111051
ENSG00000068885	DOID:0110086
ENSG00000068976	DOID:2746
ENSG00000069011	DOID:11836
ENSG00000069248	DOID:0080393
ENSG00000069329	DOID:0060897
ENSG00000069431	DOID:0050650|DOID:0060569|DOID:0110451
ENSG00000069482	DOID:0060754
ENSG00000069974	DOID:0060833
ENSG00000070018	DOID:3393
ENSG00000070019	DOID:0060780
ENSG00000070061	DOID:11589
ENSG00000070182	DOID:0110917
ENSG00000070193	DOID:0050331|DOID:0111549
ENSG00000070610	DOID:0110798
ENSG00000070729	DOID:0110402
ENSG00000070748	DOID:0110671
ENSG00000070785	DOID:0060868
ENSG00000070808	DOID:0080228
ENSG00000070814	DOID:0080789|DOID:2908
ENSG00000070915	DOID:0050450
ENSG00000071243	DOID:5520
ENSG00000071462	DOID:1928
ENSG00000071539	DOID:0080689
ENSG00000071553	DOID:0112002
ENSG00000071859	DOID:0050764
ENSG00000072062	DOID:0060280
ENSG00000072110	DOID:0111053
ENSG00000072121	DOID:0110768
ENSG00000072163	DOID:0110288
ENSG00000072210	DOID:14501
ENSG00000072274	DOID:0111948
ENSG00000072501	DOID:0080506
ENSG00000072506	DOID:0060810
ENSG00000072694	DOID:9074
ENSG00000072756	DOID:0080209
ENSG00000072778	DOID:0080155
ENSG00000072786	DOID:5557
ENSG00000072840	DOID:0111571|DOID:12714
ENSG00000073050	DOID:0080260
ENSG00000073111	DOID:0110592
ENSG00000073282	DOID:0050601|DOID:0060330|DOID:0060783|DOID:0080401|DOID:0090023|DOID:0090119
ENSG00000073464	DOID:0112060
ENSG00000073578	DOID:0050773|DOID:0060537|DOID:0110435|DOID:3652
ENSG00000073584	DOID:4586
ENSG00000073734	DOID:0070222|DOID:0070232
ENSG00000073861	DOID:0111579
ENSG00000074071	DOID:0111492
ENSG00000074181	DOID:0080109|DOID:0111035|DOID:0111343|DOID:13945
ENSG00000074410	DOID:0111371
ENSG00000074582	DOID:0050677|DOID:0080111|DOID:0111455
ENSG00000074621	DOID:0110868
ENSG00000074803	DOID:0110142|DOID:445
ENSG00000075043	DOID:0080462|DOID:14264
ENSG00000075213	DOID:0090080
ENSG00000075239	DOID:14723
ENSG00000075624	DOID:0060229
ENSG00000075643	DOID:0060236
ENSG00000075651	DOID:0080633
ENSG00000075702	DOID:0070293
ENSG00000075785	DOID:0110159
ENSG00000075891	DOID:0090006|DOID:0111132
ENSG00000076003	DOID:10604
ENSG00000076242	DOID:0050465|DOID:0070274|DOID:1380|DOID:9256
ENSG00000076248	DOID:0060759
ENSG00000076351	DOID:0111678
ENSG00000076685	DOID:0110797
ENSG00000076716	DOID:0111842
ENSG00000076928	DOID:0111991
ENSG00000076944	DOID:0110925
ENSG00000077092	DOID:0111800
ENSG00000077150	DOID:12177
ENSG00000077152	DOID:0111081
ENSG00000077264	DOID:0112051
ENSG00000077279	DOID:0050453
ENSG00000077498	DOID:0050632|DOID:0070094|DOID:0070095|DOID:0090100
ENSG00000077522	DOID:0110428
ENSG00000077721	DOID:0060820
ENSG00000077782	DOID:0090070|DOID:0090083|DOID:0111337|DOID:0111532|DOID:14705
ENSG00000077942	DOID:0060242
ENSG00000077943	DOID:14766
ENSG00000078070	DOID:0050710|DOID:0080579
ENSG00000078369	DOID:0070072
ENSG00000079215	DOID:0050994
ENSG00000079335	DOID:0110491
ENSG00000079432	DOID:0080236
ENSG00000079435	DOID:0070206
ENSG00000079482	DOID:0080311
ENSG00000079616	DOID:0050813
ENSG00000079739	DOID:0060728|DOID:0080570
ENSG00000079805	DOID:0110197|DOID:0111223
ENSG00000079841	DOID:0111012
ENSG00000080503	DOID:5419
ENSG00000080561	DOID:0112048
ENSG00000080603	DOID:0111358
ENSG00000080815	DOID:0110042|DOID:0110455|DOID:11870|DOID:2280|DOID:9255
ENSG00000080819	DOID:13269
ENSG00000081014	DOID:0060243|DOID:0110803
ENSG00000081052	DOID:0110033|DOID:0111365
ENSG00000081087	DOID:0110939
ENSG00000081148	DOID:0050661|DOID:0110371
ENSG00000081189	DOID:0070050
ENSG00000081248	DOID:14452
ENSG00000081307	DOID:0080424|DOID:0111615
ENSG00000081479	DOID:0090144
ENSG00000081923	DOID:0070221|DOID:0070226|DOID:0070228|DOID:0070230|DOID:0070231
ENSG00000082074	DOID:1588
ENSG00000082458	DOID:0112041
ENSG00000083093	DOID:0111094|DOID:1612
ENSG00000083123	DOID:9269
ENSG00000083168	DOID:0070062
ENSG00000083307	DOID:0080669|DOID:0110557
ENSG00000083444	DOID:0080734
ENSG00000083535	DOID:0080279
ENSG00000083799	DOID:0050693
ENSG00000083937	DOID:0111227
ENSG00000084073	DOID:0060762
ENSG00000084093	DOID:0080280|DOID:0110556
ENSG00000084110	DOID:0060168
ENSG00000084674	DOID:0111062
ENSG00000084693	DOID:0110361
ENSG00000084754	DOID:0111277
ENSG00000084774	DOID:0080419
ENSG00000085185	DOID:0111841
ENSG00000085224	DOID:0110030|DOID:0112125
ENSG00000085563	DOID:0110893
ENSG00000085788	DOID:0110806
ENSG00000085840	DOID:0060306|DOID:0080512
ENSG00000085978	DOID:0110885
ENSG00000085998	DOID:0050588|DOID:0080571|DOID:0110292|DOID:0111236
ENSG00000086062	DOID:0070256
ENSG00000086288	DOID:0110606
ENSG00000086300	DOID:0110940
ENSG00000086570	DOID:0080287
ENSG00000086758	DOID:0060811
ENSG00000086848	DOID:0080564
ENSG00000087053	DOID:0110191
ENSG00000087086	DOID:0110737|DOID:0111256
ENSG00000087116	DOID:0080733
ENSG00000087237	DOID:0111369
ENSG00000087258	DOID:0080450
ENSG00000087266	DOID:1856
ENSG00000087299	DOID:0050574
ENSG00000087460	DOID:0080053|DOID:0080222|DOID:0111535|DOID:0111623|DOID:1858|DOID:4184|DOID:9256
ENSG00000087470	DOID:0070347|DOID:0111438
ENSG00000087494	DOID:0110976
ENSG00000088002	DOID:0080258
ENSG00000088035	DOID:0080555
ENSG00000088053	DOID:0111057
ENSG00000088256	DOID:0060701|DOID:0090108
ENSG00000088305	DOID:0090007|DOID:0090008|DOID:0111193
ENSG00000088367	DOID:0070041
ENSG00000088682	DOID:0070242
ENSG00000088926	DOID:2229
ENSG00000088970	DOID:0110410
ENSG00000089063	DOID:0060892|DOID:14330
ENSG00000089225	DOID:0060468
ENSG00000089280	DOID:0060198|DOID:0111431
ENSG00000089289	DOID:0060816
ENSG00000089597	DOID:0110860
ENSG00000089818	DOID:0080443
ENSG00000090006	DOID:0070139|DOID:11723
ENSG00000090020	DOID:0080065
ENSG00000090054	DOID:0050548|DOID:0070152
ENSG00000090382	DOID:0050636
ENSG00000090402	DOID:0111633
ENSG00000090487	DOID:0060245
ENSG00000090534	DOID:2224
ENSG00000090581	DOID:0080678
ENSG00000090674	DOID:0080490
ENSG00000090776	DOID:14737
ENSG00000090889	DOID:0112040
ENSG00000090905	DOID:0111696
ENSG00000090932	DOID:0050568
ENSG00000091010	DOID:0110546
ENSG00000091106	DOID:0090065
ENSG00000091136	DOID:0050453
ENSG00000091137	DOID:0060744|DOID:0110498
ENSG00000091138	DOID:0060296|DOID:0060774
ENSG00000091140	DOID:9269
ENSG00000091262	DOID:0050644|DOID:2738
ENSG00000091409	DOID:0060733
ENSG00000091436	DOID:0111221
ENSG00000091482	DOID:0111735
ENSG00000091483	DOID:0111261
ENSG00000091513	DOID:0050649
ENSG00000091536	DOID:0110488
ENSG00000091622	DOID:0111010
ENSG00000091651	DOID:0080514
ENSG00000092020	DOID:0111921
ENSG00000092054	DOID:0060253|DOID:0070197|DOID:0080326|DOID:0110307|DOID:0110454|DOID:0111268|DOID:0111269
ENSG00000092094	DOID:0080245
ENSG00000092200	DOID:0110329|DOID:0111016
ENSG00000092295	DOID:0060655|DOID:0060656
ENSG00000092330	DOID:0070018|DOID:0070026
ENSG00000092377	DOID:0111758
ENSG00000092439	DOID:0111246
ENSG00000092529	DOID:0110274|DOID:0110275
ENSG00000092621	DOID:0050722|DOID:0080076
ENSG00000092758	DOID:0070304
ENSG00000092929	DOID:0110923
ENSG00000092969	DOID:0070233
ENSG00000093009	DOID:0080518
ENSG00000093010	DOID:0050741|DOID:5419
ENSG00000093072	DOID:13096
ENSG00000094631	DOID:0112106
ENSG00000094804	DOID:0080516
ENSG00000094914	DOID:0050602
ENSG00000095002	DOID:0050465|DOID:0070271|DOID:1380|DOID:3883|DOID:9256
ENSG00000095015	DOID:0111769
ENSG00000095209	DOID:0110343
ENSG00000095380	DOID:0080576
ENSG00000095397	DOID:0110490|DOID:0110840
ENSG00000095464	DOID:0050795
ENSG00000095485	DOID:0080064
ENSG00000095585	DOID:0060027
ENSG00000095777	DOID:0110489
ENSG00000096093	DOID:0111324|DOID:4890
ENSG00000096696	DOID:0090128|DOID:0110076
ENSG00000096968	DOID:11512|DOID:2224|DOID:4971|DOID:8997|DOID:9119
ENSG00000096996	DOID:0111990
ENSG00000097007	DOID:8552
ENSG00000099246	DOID:0110718
ENSG00000099365	DOID:0111301
ENSG00000099377	DOID:0111071
ENSG00000099797	DOID:0060308
ENSG00000099810	DOID:0080664
ENSG00000099937	DOID:0111901
ENSG00000099940	DOID:0060337
ENSG00000099949	DOID:0060580|DOID:0060588|DOID:3070|DOID:3204
ENSG00000099956	DOID:0070045|DOID:2129|DOID:3204
ENSG00000100014	DOID:0080698|DOID:0111706
ENSG00000100030	DOID:0112161
ENSG00000100031	DOID:0111257
ENSG00000100053	DOID:0110268
ENSG00000100075	DOID:0111619
ENSG00000100099	DOID:0060542
ENSG00000100106	DOID:0110486
ENSG00000100122	DOID:0110270
ENSG00000100146	DOID:0090111|DOID:0110955|DOID:0110956
ENSG00000100225	DOID:0060372
ENSG00000100234	DOID:0090114
ENSG00000100241	DOID:0110194
ENSG00000100285	DOID:0060193|DOID:0110180|DOID:332
ENSG00000100288	DOID:0110632
ENSG00000100297	DOID:0080255
ENSG00000100299	DOID:0050441|DOID:10581
ENSG00000100311	DOID:0060230|DOID:3507
ENSG00000100344	DOID:0080208
ENSG00000100345	DOID:0060651|DOID:0110548
ENSG00000100348	DOID:0111501
ENSG00000100360	DOID:0110141
ENSG00000100365	DOID:0070194
ENSG00000100368	DOID:12120
ENSG00000100379	DOID:0090036
ENSG00000100385	DOID:0111997
ENSG00000100393	DOID:1933
ENSG00000100412	DOID:0050883|DOID:0111442
ENSG00000100416	DOID:0080778|DOID:0111734
ENSG00000100427	DOID:0080315|DOID:0080316
ENSG00000100473	DOID:0110593|DOID:0111644
ENSG00000100478	DOID:0110804
ENSG00000100485	DOID:0060587
ENSG00000100503	DOID:0070011
ENSG00000100504	DOID:2754
ENSG00000100523	DOID:0110779
ENSG00000100526	DOID:684
ENSG00000100578	DOID:0110096|DOID:0110992
ENSG00000100596	DOID:0070157
ENSG00000100697	DOID:0050489|DOID:4769
ENSG00000100714	DOID:0080074|DOID:9256
ENSG00000100749	DOID:0060265
ENSG00000100815	DOID:0080043|DOID:0080054
ENSG00000100836	DOID:11719
ENSG00000100883	DOID:0112135
ENSG00000100934	DOID:0070307
ENSG00000100983	DOID:0080699
ENSG00000100987	DOID:10126
ENSG00000100997	DOID:0080181
ENSG00000101003	DOID:0111993
ENSG00000101017	DOID:0060023
ENSG00000101076	DOID:0050524|DOID:0080760|DOID:0111099|DOID:9352
ENSG00000101115	DOID:0060747|DOID:0111381
ENSG00000101126	DOID:0070058
ENSG00000101152	DOID:0110720
ENSG00000101161	DOID:0110411
ENSG00000101162	DOID:0090102
ENSG00000101200	DOID:12388
ENSG00000101204	DOID:0060681|DOID:0060682
ENSG00000101210	DOID:0070068|DOID:0080463
ENSG00000101247	DOID:0112096
ENSG00000101276	DOID:0050694|DOID:0080632|DOID:0080785
ENSG00000101282	DOID:0080082
ENSG00000101292	DOID:0090092
ENSG00000101306	DOID:0080326|DOID:0110307
ENSG00000101310	DOID:0111401
ENSG00000101311	DOID:0060472
ENSG00000101327	DOID:0050973
ENSG00000101346	DOID:0060256
ENSG00000101347	DOID:0050629|DOID:0060386
ENSG00000101350	DOID:0112146
ENSG00000101361	DOID:0050983
ENSG00000101365	DOID:0110409
ENSG00000101384	DOID:6419|DOID:9245
ENSG00000101400	DOID:0110653
ENSG00000101421	DOID:0110265
ENSG00000101439	DOID:0070027|DOID:0110023
ENSG00000101444	DOID:0111039
ENSG00000101596	DOID:0111193
ENSG00000101773	DOID:0070013
ENSG00000101825	DOID:1324
ENSG00000101846	DOID:1700
ENSG00000101849	DOID:0111837
ENSG00000101850	DOID:0050633|DOID:0111795
ENSG00000101868	DOID:0111834|DOID:0111840
ENSG00000101871	DOID:0050780|DOID:0080697
ENSG00000101901	DOID:0080470
ENSG00000101935	DOID:0111859|DOID:0111860
ENSG00000101966	DOID:0060706
ENSG00000101972	DOID:0111845
ENSG00000101974	DOID:0111846
ENSG00000101981	DOID:0111899|DOID:12259
ENSG00000101986	DOID:10588
ENSG00000101997	DOID:0060572
ENSG00000102001	DOID:0050630|DOID:0110871|DOID:0111007
ENSG00000102003	DOID:0112035
ENSG00000102024	DOID:11476
ENSG00000102030	DOID:0050781|DOID:0080636|DOID:0111799
ENSG00000102076	DOID:0050679|DOID:13910
ENSG00000102081	DOID:0050879|DOID:14261|DOID:5426
ENSG00000102100	DOID:0070265
ENSG00000102103	DOID:0060179
ENSG00000102104	DOID:0060763
ENSG00000102119	DOID:0070246|DOID:11726
ENSG00000102128	DOID:0060830
ENSG00000102144	DOID:0111933
ENSG00000102145	DOID:0111767|DOID:0112156|DOID:1588
ENSG00000102158	DOID:0080319|DOID:0111839
ENSG00000102172	DOID:0060802
ENSG00000102174	DOID:0050445
ENSG00000102218	DOID:0110415
ENSG00000102245	DOID:0060022|DOID:0080544
ENSG00000102302	DOID:6683
ENSG00000102312	DOID:2120
ENSG00000102316	DOID:0110147
ENSG00000102383	DOID:0112043
ENSG00000102393	DOID:14499
ENSG00000102466	DOID:0050976
ENSG00000102678	DOID:0050794
ENSG00000102683	DOID:0110277
ENSG00000102743	DOID:0050720
ENSG00000102805	DOID:0110728
ENSG00000102878	DOID:0110255
ENSG00000102879	DOID:0060019
ENSG00000102893	DOID:0111041
ENSG00000102900	DOID:0080387
ENSG00000102931	DOID:0110419
ENSG00000102935	DOID:0111122
ENSG00000102967	DOID:0111259
ENSG00000102974	DOID:0070051
ENSG00000103005	DOID:0060551
ENSG00000103051	DOID:0070262|DOID:0111673
ENSG00000103089	DOID:0110786
ENSG00000103126	DOID:684
ENSG00000103197	DOID:0080325|DOID:3319
ENSG00000103222	DOID:0112168
ENSG00000103227	DOID:0111422
ENSG00000103241	DOID:13042
ENSG00000103249	DOID:0110938|DOID:0110944
ENSG00000103266	DOID:0080029|DOID:0111746
ENSG00000103316	DOID:0110566
ENSG00000103335	DOID:0111576
ENSG00000103356	DOID:0111493
ENSG00000103449	DOID:0050887
ENSG00000103489	DOID:0060462|DOID:2738
ENSG00000103494	DOID:0070119|DOID:0111002
ENSG00000103507	DOID:0090126
ENSG00000103522	DOID:0111982
ENSG00000103546	DOID:0111154
ENSG00000103591	DOID:0080214
ENSG00000103707	DOID:0111491|DOID:0112090
ENSG00000103723	DOID:0080448
ENSG00000103876	DOID:0050726
ENSG00000103942	DOID:0110589
ENSG00000104044	DOID:0070096
ENSG00000104093	DOID:0080267
ENSG00000104133	DOID:0060197|DOID:0110176|DOID:0110764
ENSG00000104164	DOID:0060547
ENSG00000104213	DOID:9256
ENSG00000104237	DOID:0110390|DOID:1172
ENSG00000104267	DOID:0110941
ENSG00000104313	DOID:0060232|DOID:0111423
ENSG00000104320	DOID:12449|DOID:1612|DOID:7400
ENSG00000104321	DOID:0111728|DOID:0111729
ENSG00000104365	DOID:0111959|DOID:0111960
ENSG00000104381	DOID:0110167|DOID:0110185|DOID:0110201
ENSG00000104413	DOID:0111639
ENSG00000104419	DOID:0110186
ENSG00000104447	DOID:0080376|DOID:14743|DOID:4998
ENSG00000104450	DOID:0110607
ENSG00000104635	DOID:0080537
ENSG00000104723	DOID:0060308
ENSG00000104738	DOID:0111967
ENSG00000104763	DOID:0050464|DOID:0111527
ENSG00000104774	DOID:3413
ENSG00000104783	DOID:0111577
ENSG00000104826	DOID:0090091
ENSG00000104833	DOID:0060798|DOID:0090041
ENSG00000104856	DOID:0111992
ENSG00000104884	DOID:0110845|DOID:0111873|DOID:2960
ENSG00000104889	DOID:0050629
ENSG00000104899	DOID:0050791
ENSG00000104973	DOID:0110179
ENSG00000105048	DOID:0110936
ENSG00000105146	DOID:0070183
ENSG00000105197	DOID:0070002
ENSG00000105204	DOID:0060612
ENSG00000105220	DOID:2861
ENSG00000105221	DOID:9352
ENSG00000105223	DOID:0080288
ENSG00000105227	DOID:0050540|DOID:0110193
ENSG00000105329	DOID:4997
ENSG00000105357	DOID:0110573
ENSG00000105369	DOID:2583
ENSG00000105370	DOID:0110263
ENSG00000105372	DOID:0111895|DOID:1339
ENSG00000105379	DOID:0060358
ENSG00000105392	DOID:0110333|DOID:0111005|DOID:10584
ENSG00000105397	DOID:0111989
ENSG00000105409	DOID:0050635|DOID:0090056
ENSG00000105429	DOID:0060234
ENSG00000105464	DOID:0080456
ENSG00000105568	DOID:0070066
ENSG00000105607	DOID:0111254
ENSG00000105610	DOID:0111400
ENSG00000105613	DOID:0111403
ENSG00000105618	DOID:0110408
ENSG00000105639	DOID:0060008
ENSG00000105664	DOID:0070303|DOID:0080047
ENSG00000105695	DOID:0110820
ENSG00000105697	DOID:0111032
ENSG00000105711	DOID:0050650|DOID:0080455|DOID:0110222|DOID:0111302
ENSG00000105722	DOID:2340
ENSG00000105738	DOID:0110262
ENSG00000105755	DOID:0060640
ENSG00000105792	DOID:0111929
ENSG00000105810	DOID:0070284
ENSG00000105819	DOID:0070332
ENSG00000105877	DOID:0110605
ENSG00000105880	DOID:0090024
ENSG00000105928	DOID:0110575
ENSG00000105929	DOID:14219
ENSG00000105974	DOID:0111137|DOID:14557
ENSG00000105976	DOID:0110539|DOID:4465|DOID:684
ENSG00000105983	DOID:0050603|DOID:0111350|DOID:0111564|DOID:0111818|DOID:1148
ENSG00000105991	DOID:0050682
ENSG00000105993	DOID:0110273|DOID:0110305
ENSG00000106003	DOID:0050568
ENSG00000106025	DOID:0111408
ENSG00000106031	DOID:0060739|DOID:0111544
ENSG00000106153	DOID:0080504
ENSG00000106211	DOID:0110163|DOID:0111207
ENSG00000106327	DOID:0111030
ENSG00000106331	DOID:0111107|DOID:1837|DOID:9352|DOID:9744
ENSG00000106348	DOID:0110216|DOID:0110388
ENSG00000106367	DOID:0060483
ENSG00000106410	DOID:5426
